CustomerID,Recency,Frequency,Monetary_GBP,Monetary_PKR,Cluster,Customer_Segment
12346,326,1,77183.6,27786096.000000004,0,Low-Value / At Risk
12347,2,7,4310.0,1551600.0,1,Regular Customer
12348,75,4,1797.24,647006.4,1,Regular Customer
12349,19,1,1757.55,632718.0,1,Regular Customer
12350,310,1,334.40000000000003,120384.00000000001,0,Low-Value / At Risk
12352,36,8,2506.04,902174.4,1,Regular Customer
12353,204,1,89.0,32040.0,0,Low-Value / At Risk
12354,232,1,1079.4,388584.00000000006,0,Low-Value / At Risk
12355,214,1,459.40000000000003,165384.0,0,Low-Value / At Risk
12356,23,3,2811.43,1012114.7999999999,1,Regular Customer
12357,33,1,6207.67,2234761.2,1,Regular Customer
12358,2,2,1168.06,420501.6,1,Regular Customer
12359,58,4,6372.58,2294128.8,1,Regular Customer
12360,52,3,2662.06,958341.6,1,Regular Customer
12361,287,1,189.9,68364.0,0,Low-Value / At Risk
12362,3,10,5226.2300000000005,1881442.8000000003,1,Regular Customer
12363,110,2,552.0,198720.0,1,Regular Customer
12364,8,4,1313.1,472715.99999999994,1,Regular Customer
12365,291,2,641.38,230896.8,0,Low-Value / At Risk
12367,4,1,168.9,60804.0,1,Regular Customer
12370,51,4,3545.69,1276448.4,1,Regular Customer
12371,45,2,1887.96,679665.6,1,Regular Customer
12372,72,3,1298.04,467294.39999999997,1,Regular Customer
12373,311,1,364.6,131256.0,0,Low-Value / At Risk
12374,25,1,742.9300000000001,267454.80000000005,1,Regular Customer
12375,11,2,457.5,164700.0,1,Regular Customer
12377,315,2,1628.1200000000001,586123.2000000001,0,Low-Value / At Risk
12378,130,1,4008.62,1443103.2,1,Regular Customer
12379,82,2,852.24,306806.4,1,Regular Customer
12380,22,4,2724.81,980931.6,1,Regular Customer
12381,5,5,1845.31,664311.6,1,Regular Customer
12383,185,5,1850.56,666201.6,0,Low-Value / At Risk
12384,29,2,585.27,210697.19999999998,1,Regular Customer
12386,338,2,401.9,144684.0,0,Low-Value / At Risk
12388,16,6,2780.6600000000003,1001037.6000000001,1,Regular Customer
12390,80,1,549.84,197942.40000000002,1,Regular Customer
12391,22,1,460.89,165920.4,1,Regular Customer
12393,72,4,1582.6000000000001,569736.0,1,Regular Customer
12394,64,2,1272.48,458092.8,1,Regular Customer
12395,19,12,3018.63,1086706.8,1,Regular Customer
12397,36,2,2409.9,867564.0,1,Regular Customer
12398,46,1,1635.6599999999999,588837.6,1,Regular Customer
12399,119,4,1108.65,399114.00000000006,1,Regular Customer
12401,303,1,84.3,30348.0,0,Low-Value / At Risk
12402,323,1,225.60000000000002,81216.00000000001,0,Low-Value / At Risk
12403,50,1,427.7,153972.0,1,Regular Customer
12405,149,1,1710.39,615740.4,0,Low-Value / At Risk
12406,22,2,3415.3,1229508.0,1,Regular Customer
12407,50,5,1708.12,614923.2,1,Regular Customer
12408,33,5,2888.55,1039878.0000000001,1,Regular Customer
12409,79,3,11072.67,3986161.2,1,Regular Customer
12410,309,2,693.33,249598.80000000002,0,Low-Value / At Risk
12412,75,3,1226.88,441676.80000000005,1,Regular Customer
12413,67,3,758.1,272916.0,1,Regular Customer
12414,217,3,562.4100000000001,202467.60000000003,0,Low-Value / At Risk
12415,24,21,124914.53,44969230.8,2,VIP Customer
12417,3,9,3649.1,1313676.0,1,Regular Customer
12418,113,1,668.58,240688.80000000002,1,Regular Customer
12420,64,1,600.39,216140.4,1,Regular Customer
12421,16,4,807.04,290534.39999999997,1,Regular Customer
12422,96,3,803.5600000000001,289281.60000000003,1,Regular Customer
12423,1,8,1859.31,669351.6,1,Regular Customer
12424,163,2,1760.96,633945.6,0,Low-Value / At Risk
12425,78,1,777.2,279792.0,1,Regular Customer
12426,195,1,582.73,209782.80000000002,0,Low-Value / At Risk
12427,22,3,825.8000000000001,297288.0,1,Regular Customer
12428,26,9,7956.46,2864325.6,1,Regular Customer
12429,9,4,3750.4,1350144.0,1,Regular Customer
12430,43,1,256.4,92303.99999999999,1,Regular Customer
12431,36,15,6487.45,2335482.0,1,Regular Customer
12432,43,5,5059.32,1821355.2,1,Regular Customer
12433,1,7,13375.87,4815313.2,1,Regular Customer
12434,85,2,806.14,290210.4,1,Regular Customer
12435,80,2,7829.89,2818760.4,1,Regular Customer
12436,100,1,509.01,183243.6,1,Regular Customer
12437,2,18,4951.41,1782507.5999999999,1,Regular Customer
12438,14,2,2906.85,1046466.0,1,Regular Customer
12441,367,1,173.55,62478.00000000001,0,Low-Value / At Risk
12442,3,1,172.06,61941.6,1,Regular Customer
12444,21,5,5005.46,1801965.6,1,Regular Customer
12445,22,1,133.4,48024.0,1,Regular Customer
12446,58,1,1002.3100000000001,360831.60000000003,1,Regular Customer
12447,243,1,476.49,171536.4,0,Low-Value / At Risk
12448,44,1,449.45,161802.0,1,Regular Customer
12449,22,4,4067.29,1464224.4,1,Regular Customer
12450,156,2,197.88,71236.8,0,Low-Value / At Risk
12451,11,5,9035.52,3252787.2,1,Regular Customer
12452,17,2,430.57000000000005,155005.2,1,Regular Customer
12453,134,1,707.09,254552.40000000002,1,Regular Customer
12454,56,1,3528.34,1270202.4000000001,1,Regular Customer
12455,73,6,2466.86,888069.6000000001,1,Regular Customer
12456,44,3,3181.04,1145174.4,1,Regular Customer
12457,66,7,2363.23,850762.8,1,Regular Customer
12458,71,2,947.4,341064.0,1,Regular Customer
12461,94,2,826.88,297676.8,1,Regular Customer
12462,19,2,1189.59,428252.39999999997,1,Regular Customer
12463,53,4,1344.78,484120.8,1,Regular Customer
12464,10,8,1212.05,436338.0,1,Regular Customer
12465,17,2,742.19,267188.4,1,Regular Customer
12468,188,2,729.54,262634.39999999997,0,Low-Value / At Risk
12471,2,30,19824.05,7136658.0,1,Regular Customer
12472,32,7,6572.11,2365959.6,1,Regular Customer
12473,29,5,3938.55,1417878.0,1,Regular Customer
12474,17,18,7375.79,2655284.4,1,Regular Customer
12475,54,1,723.38,260416.8,1,Regular Customer
12476,16,11,6816.42,2453911.2,1,Regular Customer
12477,23,6,13219.74,4759106.4,1,Regular Customer
12478,4,1,680.99,245156.4,1,Regular Customer
12479,11,1,527.2,189792.00000000003,1,Regular Customer
12480,28,4,3281.63,1181386.8,1,Regular Customer
12481,23,10,5596.32,2014675.2,1,Regular Customer
12483,17,8,2484.98,894592.8,1,Regular Customer
12484,33,6,4541.72,1635019.2000000002,1,Regular Customer
12488,10,3,1298.66,467517.60000000003,1,Regular Customer
12489,336,1,334.93,120574.8,0,Low-Value / At Risk
12490,5,10,5417.93,1950454.8,1,Regular Customer
12491,39,1,460.40000000000003,165744.0,1,Regular Customer
12492,63,2,263.21000000000004,94755.6,1,Regular Customer
12493,166,2,433.74,156146.4,0,Low-Value / At Risk
12494,16,7,1246.1,448595.99999999994,1,Regular Customer
12497,82,1,1043.1,375515.99999999994,1,Regular Customer
12498,21,3,403.70000000000005,145332.00000000003,1,Regular Customer
12500,23,11,4257.82,1532815.2,1,Regular Customer
12501,337,1,2169.39,780980.3999999999,0,Low-Value / At Risk
12502,96,5,3723.87,1340593.2,1,Regular Customer
12504,18,2,482.04999999999995,173537.99999999997,1,Regular Customer
12506,233,1,73.5,26460.0,0,Low-Value / At Risk
12507,134,3,1304.81,469731.6,1,Regular Customer
12508,26,2,398.27,143377.19999999998,1,Regular Customer
12509,284,1,176.5,63540.0,0,Low-Value / At Risk
12510,143,2,982.5699999999999,353725.19999999995,0,Low-Value / At Risk
12512,66,2,138.03,49690.8,1,Regular Customer
12513,113,1,612.29,220424.4,1,Regular Customer
12514,267,1,1017.6800000000001,366364.80000000005,0,Low-Value / At Risk
12515,353,1,383.7,138132.0,0,Low-Value / At Risk
12516,78,2,1312.06,472341.6,1,Regular Customer
12517,28,5,2502.84,901022.4,1,Regular Customer
12518,1,5,2056.89,740480.3999999999,1,Regular Customer
12519,64,1,340.84000000000003,122702.40000000001,1,Regular Customer
12520,79,5,2634.26,948333.6000000001,1,Regular Customer
12521,143,1,599.68,215884.8,0,Low-Value / At Risk
12522,39,2,192.72,69379.2,1,Regular Customer
12523,19,11,1789.77,644317.2,1,Regular Customer
12524,9,8,4485.72,1614859.2000000002,1,Regular Customer
12526,1,3,1316.66,473997.60000000003,1,Regular Customer
12527,82,3,348.71000000000004,125535.6,1,Regular Customer
12528,9,6,1933.48,696052.8,1,Regular Customer
12530,60,4,1662.28,598420.8,1,Regular Customer
12531,15,1,125.22,45079.2,1,Regular Customer
12532,30,1,349.83000000000004,125938.80000000002,1,Regular Customer
12534,131,1,1089.18,392104.80000000005,1,Regular Customer
12535,92,2,716.35,257886.0,1,Regular Customer
12536,43,3,12601.830000000002,4536658.800000001,1,Regular Customer
12538,29,1,363.95,131022.0,1,Regular Customer
12539,22,4,5568.35,2004606.0000000002,1,Regular Customer
12540,20,17,13400.24,4824086.4,1,Regular Customer
12541,30,3,981.18,353224.8,1,Regular Customer
12544,36,1,372.7,134172.0,1,Regular Customer
12545,75,2,1000.39,360140.4,1,Regular Customer
12546,47,2,1161.5,418140.0,1,Regular Customer
12547,198,2,207.8,74808.0,0,Low-Value / At Risk
12548,166,1,95.19999999999999,34271.99999999999,0,Low-Value / At Risk
12550,79,1,964.83,347338.8,1,Regular Customer
12551,358,1,168.0,60480.0,0,Low-Value / At Risk
12552,39,2,437.82,157615.2,1,Regular Customer
12553,8,10,3692.28,1329220.8,1,Regular Customer
12556,50,2,603.71,217335.6,1,Regular Customer
12557,16,5,11990.960000000001,4316745.600000001,1,Regular Customer
12558,8,1,269.96,97185.59999999999,1,Regular Customer
12559,311,2,561.71,202215.6,0,Low-Value / At Risk
12560,5,3,2134.01,768243.6000000001,1,Regular Customer
12561,303,1,238.85,85986.0,0,Low-Value / At Risk
12562,8,7,3781.7400000000002,1361426.4000000001,1,Regular Customer
12564,261,1,456.90000000000003,164484.0,0,Low-Value / At Risk
12565,289,1,145.92000000000002,52531.200000000004,0,Low-Value / At Risk
12566,86,1,351.65,126593.99999999999,1,Regular Customer
12567,23,10,9401.28,3384460.8000000003,1,Regular Customer
12569,2,32,4124.6900000000005,1484888.4000000001,1,Regular Customer
12571,40,2,519.61,187059.6,1,Regular Customer
12572,9,2,1020.4200000000001,367351.2,1,Regular Customer
12573,227,1,160.54000000000002,57794.40000000001,0,Low-Value / At Risk
12574,316,1,218.45000000000002,78642.0,0,Low-Value / At Risk
12576,36,5,1315.83,473698.8,1,Regular Customer
12577,35,3,657.8,236807.99999999997,1,Regular Customer
12578,21,2,2794.51,1006023.6000000001,1,Regular Customer
12579,78,1,440.42,158551.2,1,Regular Customer
12580,247,1,415.7,149652.0,0,Low-Value / At Risk
12581,40,1,197.71,71175.6,1,Regular Customer
12582,239,2,511.36,184089.6,0,Low-Value / At Risk
12583,3,15,7281.38,2621296.8,1,Regular Customer
12584,4,9,2338.15,841734.0,1,Regular Customer
12585,234,2,2040.1,734436.0,0,Low-Value / At Risk
12586,17,1,196.94000000000003,70898.40000000001,1,Regular Customer
12587,8,1,144.0,51840.0,1,Regular Customer
12588,39,1,214.89999999999998,77363.99999999999,1,Regular Customer
12589,29,2,646.68,232804.8,1,Regular Customer
12590,211,2,9864.26,3551133.6,0,Low-Value / At Risk
12591,317,1,452.84999999999997,163026.0,0,Low-Value / At Risk
12592,92,2,437.6,157536.0,1,Regular Customer
12593,109,3,418.1,150516.0,1,Regular Customer
12594,38,10,3338.2200000000003,1201759.2000000002,1,Regular Customer
12596,51,2,618.27,222577.19999999998,1,Regular Customer
12597,19,4,3811.22,1372039.2,1,Regular Customer
12598,10,8,3023.08,1088308.8,1,Regular Customer
12599,29,7,1032.58,371728.8,1,Regular Customer
12600,29,10,2599.04,935654.4,1,Regular Customer
12601,190,5,577.0600000000001,207741.60000000003,0,Low-Value / At Risk
12602,59,1,153.12,55123.200000000004,1,Regular Customer
12603,22,1,739.1999999999999,266112.0,1,Regular Customer
12604,79,2,254.18,91504.8,1,Regular Customer
12607,60,1,1579.51,568623.6,1,Regular Customer
12609,78,3,1126.85,405665.99999999994,1,Regular Customer
12610,23,5,2099.54,755834.4,1,Regular Customer
12611,52,1,1193.32,429595.19999999995,1,Regular Customer
12612,74,1,704.04,253454.4,1,Regular Customer
12613,57,5,3344.38,1203976.8,1,Regular Customer
12614,278,1,315.6,113616.00000000001,0,Low-Value / At Risk
12615,2,4,2291.19,824828.4,1,Regular Customer
12616,95,2,713.3,256787.99999999997,1,Regular Customer
12617,29,1,355.53000000000003,127990.80000000002,1,Regular Customer
12618,22,1,177.31,63831.6,1,Regular Customer
12619,16,9,3641.24,1310846.4,1,Regular Customer
12620,15,3,1339.41,482187.60000000003,1,Regular Customer
12621,2,20,13689.67,4928281.2,1,Regular Customer
12622,232,1,180.1,64836.0,0,Low-Value / At Risk
12623,276,1,305.1,109836.00000000001,0,Low-Value / At Risk
12624,106,2,641.13,230806.8,1,Regular Customer
12625,212,2,2683.82,966175.2000000001,0,Low-Value / At Risk
12626,23,9,6620.4800000000005,2383372.8000000003,1,Regular Customer
12627,11,7,4478.53,1612270.7999999998,1,Regular Customer
12628,4,3,786.46,283125.60000000003,1,Regular Customer
12630,10,2,1270.88,457516.80000000005,1,Regular Customer
12631,57,1,640.5,230580.0,1,Regular Customer
12633,59,4,2163.98,779032.8,1,Regular Customer
12635,90,2,1689.18,608104.8,1,Regular Customer
12637,67,8,6021.9,2167884.0,1,Regular Customer
12638,33,1,671.69,241808.40000000002,1,Regular Customer
12639,239,1,486.1,174996.0,0,Low-Value / At Risk
12640,24,3,1174.58,422848.8,1,Regular Customer
12641,115,1,185.9,66924.0,1,Regular Customer
12642,25,3,1013.26,364773.6,1,Regular Customer
12643,128,6,3344.64,1204070.4,1,Regular Customer
12644,130,1,477.90999999999997,172047.59999999998,1,Regular Customer
12645,34,4,1775.18,639064.8,1,Regular Customer
12646,5,2,1346.97,484909.2,1,Regular Customer
12647,22,12,3722.82,1340215.2,1,Regular Customer
12648,155,1,318.05,114498.0,0,Low-Value / At Risk
12649,107,3,623.51,224463.6,1,Regular Customer
12650,3,1,314.44,113198.4,1,Regular Customer
12651,335,1,114.0,41040.0,0,Low-Value / At Risk
12652,331,1,919.98,331192.8,0,Low-Value / At Risk
12653,149,2,2209.85,795546.0,0,Low-Value / At Risk
12654,11,5,601.98,216712.80000000002,1,Regular Customer
12656,17,5,4051.17,1458421.2,1,Regular Customer
12657,11,4,1643.18,591544.8,1,Regular Customer
12658,19,1,686.05,246977.99999999997,1,Regular Customer
12659,30,1,91.68,33004.8,1,Regular Customer
12660,11,1,245.10000000000002,88236.00000000001,1,Regular Customer
12662,1,11,3849.78,1385920.8,1,Regular Customer
12664,8,9,4881.88,1757476.8,1,Regular Customer
